,Fold,Epoch,Loss,Tra_AUC,Tra_acc,Val_AUC,Val_acc,Val_f1
0,0,50,0.666392637623681,0.939822688334593,0.746031746031746,0.9176954732510288,0.6944444444444444,0.6880411749128927
1,1,50,0.6707655891539559,0.9370393990929706,0.7242063492063492,0.9200102880658436,0.7361111111111112,0.732936507936508
2,2,50,0.7031580413144732,0.9276489145040732,0.7222222222222222,0.9117798353909465,0.6944444444444444,0.6890359995623153
3,3,50,0.6948338401696038,0.9327430818006214,0.7261904761904762,0.9426440329218106,0.75,0.7416287696725453
4,4,50,0.6832779669572436,0.9360525846140926,0.7351190476190477,0.9133230452674898,0.6666666666666666,0.6645138645138644
5,5,50,0.7175777904571049,0.9200759007306627,0.7113095238095238,0.8904320987654322,0.625,0.6146697388632872
6,6,50,0.671651809461533,0.9344057067271353,0.7301587301587301,0.9431584362139918,0.7222222222222222,0.7158542471042472
7,7,50,0.6924018490882147,0.9291068279163518,0.7242063492063492,0.9282407407407407,0.7361111111111112,0.7328320802005013
8,8,50,0.6747917424118708,0.9332325522801714,0.7321428571428571,0.9202674897119343,0.7361111111111112,0.7349285123478672
9,9,50,0.6523567986866784,0.9403055975476611,0.75,0.9223251028806584,0.6666666666666666,0.6664878277781504
10,10,50,0.6907664206292894,0.9264954438565549,0.7301587301587301,0.9140946502057614,0.7083333333333334,0.7047619047619047
11,11,50,0.686975108725684,0.9329937221802301,0.7281746031746031,0.9128086419753086,0.6805555555555556,0.6767344497607655
12,12,50,0.6107866049758972,0.9446767132779037,0.7440476190476191,0.9318415637860081,0.7638888888888888,0.757748538011696
