electrode,pi_acc_mean,pi_acc_std,pi_auc_mean,pi_auc_std,pi_f1_mean,pi_f1_std,n_observations,rank_by_acc,rank_by_auc,rank_by_f1
57,0.01777777777777778,0.02135471135546325,0.006349451303155002,0.007118502609798615,0.017730403071704773,0.02168273375597465,150,1,5,2
32,0.01740740740740741,0.01843037686521709,0.005507544581618656,0.00716965209770309,0.01752290749928989,0.019002982891238522,150,2,25,3
61,0.017407407407407406,0.01952196825259922,0.005258916323731134,0.007681132309976407,0.017799613305163078,0.02020439313262583,150,3,33,1
54,0.016944444444444453,0.019300763491969398,0.006364883401920438,0.007221235491421133,0.016971957532264183,0.019889384911062073,150,4,4,5
48,0.016944444444444443,0.019895300355110696,0.006882716049382714,0.007152757328563823,0.017045645293379395,0.019999682938358094,150,5,1,4
1,0.016666666666666673,0.020480798012976018,0.005790466392318232,0.007155739625230435,0.016923601392037906,0.021047206930600783,150,6,12,6
56,0.016666666666666666,0.019443112769995434,0.005517832647462268,0.007445865443952903,0.016741694901675055,0.019556436668818823,150,7,24,7
47,0.01657407407407407,0.02239496771484215,0.006510631001371744,0.007698257021731111,0.016477105353244193,0.02275967568361937,150,8,2,9
41,0.01657407407407407,0.018882134234067736,0.005737311385459525,0.007069863453404382,0.016704031405785507,0.019378482296989,150,8,15,8
27,0.016111111111111118,0.019647127306583793,0.0064729080932784625,0.008094055148922905,0.0159683236294114,0.02033675365859884,150,10,3,13
58,0.016018518518518522,0.0223972799706008,0.00548182441700959,0.00835089723129017,0.016112860093827473,0.022899554335120097,150,11,27,10
59,0.01592592592592593,0.019733041708459555,0.005128600823045276,0.007698550761417112,0.015988529491005727,0.019859712304020373,150,12,38,12
0,0.015648148148148154,0.019727136133238732,0.005269204389574755,0.006175193622313875,0.015729099975749197,0.02037371770296655,150,13,32,14
51,0.01564814814814815,0.02219754564525636,0.005739026063100134,0.007147507725160571,0.01568595319011762,0.02245735580452667,150,14,14,15
13,0.015648148148148147,0.02062546475714428,0.005228052126200274,0.006651127529295946,0.016065374431374048,0.021427837051239428,150,15,35,11
44,0.015462962962962961,0.020827843339942025,0.005061728395061723,0.007803435801735614,0.015518645553105124,0.021511106143558896,150,16,39,16
14,0.015277777777777777,0.01915803229306919,0.005823045267489706,0.007150683861472683,0.015464206549994796,0.019665034310504773,150,17,10,17
38,0.01518518518518519,0.022946047910295506,0.0058693415637860015,0.008277093139043606,0.015411412157963319,0.023634970938013578,150,18,7,18
20,0.015185185185185185,0.019198310795597855,0.005727023319615907,0.007356911389948132,0.01505590226855072,0.01905222071635117,150,19,16,19
33,0.015,0.02025962484123119,0.00459190672153635,0.007165080605563032,0.014973408130809546,0.02068826553952886,150,20,57,21
9,0.014814814814814815,0.019553774521747423,0.004950274348422493,0.007906341565052972,0.01502683113232148,0.02005245947608053,150,21,42,20
46,0.014722222222222223,0.020495331694341562,0.005838477366255144,0.006662615905957151,0.014706694745927985,0.021013475391379443,150,22,9,23
37,0.014629629629629637,0.02021270874001744,0.005661865569272972,0.0068126746285483925,0.014860678929922171,0.02043882841459871,150,23,19,22
10,0.014629629629629633,0.020843377312044553,0.0058076131687242755,0.006981221580153925,0.014624874783718338,0.021408013272543627,150,24,11,24
16,0.014629629629629628,0.019495423389322756,0.004648491083676269,0.006329312713901856,0.014428949385513565,0.019679458870658795,150,25,56,25
21,0.014351851851851852,0.022378775235035644,0.005058299039780518,0.006749669490564059,0.01421638767276869,0.022833087586279742,150,26,40,27
19,0.014166666666666666,0.01900333251777196,0.005706447187928665,0.007447344057213839,0.014287841888485949,0.01926965589451996,150,27,17,26
30,0.013981481481481485,0.020258133729773437,0.005480109739368996,0.007666981708667803,0.013976603388055312,0.0208324554311234,150,28,28,30
50,0.013981481481481478,0.02179733791365532,0.005641289437585731,0.007456774041588685,0.014012221198794918,0.02266027432054508,150,29,20,29
6,0.013888888888888893,0.022813262405580677,0.005306927297668032,0.007082629565411046,0.013751656522981867,0.023119158100052568,150,30,31,33
42,0.01388888888888889,0.01876544300098675,0.004924554183813441,0.007109531334674746,0.014086488731941392,0.018831858548517526,150,31,43,28
23,0.013703703703703708,0.020605997189413874,0.00453017832647462,0.006057384654348387,0.01335871784932797,0.021507310529781932,150,32,59,36
12,0.013703703703703706,0.01784507520858005,0.004675925925925919,0.007034679212642056,0.013855756828334223,0.01837287136424105,150,33,55,32
15,0.013703703703703706,0.02128589161040611,0.0052503429355281175,0.006805319552455717,0.013914246009930504,0.021782043318008027,150,33,34,31
